nev_name,avg_sed_export_diff_1992_2020_ha,stdev_sed_export_diff_1992_2020_ha,valid_count_sed_export_diff_1992_2020_ha,count_sed_export_diff_1992_2020_ha,p5_sed_export_diff_1992_2020_ha,p95_sed_export_diff_1992_2020_ha
Hungary,-0.014575003684641149,0.8579893366704805,1421441,1430652,-0.06126522272825241,0.0018107931828126311
Iceland,,,0,0,,
India,-0.20808376153224598,30.402130259695284,34146319,36164801,-0.2387215718626976,0.02845227885991331
Indonesia,0.30846710988371495,69.15922212788045,16912406,20199880,-0.4493129476904869,1.1849672198295593
Iran,0.24658116322710116,10.859506693997274,10685652,20235218,-0.15911654978990555,0.4893677532672882
Iraq,-0.020272232390008398,3.633074988450005,2478962,5463918,-0.045674846321344366,0.02904267245903577
Ireland,-0.007005105048333785,0.7857695466046568,977965,1233819,-0.004319884441792965,0.0010879543842747799
Isle of Man,,,0,10661,,
Israel,-0.46920900893848205,4.7358045509518725,196398,349910,-1.5596050679683684,0.005581268342211817
Italy,0.3787807082187537,36.94704640750471,3876853,4312532,-2.2305342197418208,2.721529006958008
Ivory Coast,0.6251182342502218,19.311672612194833,3381000,3419127,-0.22672802731394767,0.8258906453847878
Jamaica,3.490353457540135,40.868475828528005,91192,123990,-0.0021762035321444273,9.58258266448972
Japan,1.3666784651771946,57.21484690155058,4079611,5000956,-1.1161272525787354,3.5170645713806152
Jersey,,,0,2242,,
Jordan,-0.04976556573160902,3.551101830187798,421810,1094647,-0.03696922343224287,0.0
Kazakhstan,-0.005993720678664445,4.4308468723068755,39797812,42840479,-0.03547168299555778,0.012035367079079151
Kenya,-0.23918722936168674,19.281385870032775,5945435,6175602,-0.5699886858463288,0.030325509421527383
Kiribati,,,0,16026,,
Kuwait,-0.006172121585010071,0.12152308932303127,13933,211152,-0.04269125610589981,0.053187572211027115
Kyrgyzstan,0.4650138258753113,42.56599331209165,2544866,2758347,-3.7186619639396667,4.477268695831299
Laos,1.2185222578099615,46.17078171300599,2542074,2550385,-2.71007684469223,3.9493064880371196
Latvia,0.008617562388355263,0.08331332440898893,1184561,1238719,-0.001216010539792478,0.04582501947879791
Lebanon,-0.5321249575448284,26.522964771167167,114827,130677,-1.9664589166641235,1.9361331462860107
Lesotho,1.1864799194660758,21.865617372907696,368292,368587,-0.7561910808086396,3.943628239631657
Liberia,1.5402514096791204,23.900054738744537,986040,1017065,-0.010315160825848576,6.067427539825427
Libya,-0.0006538832886623414,0.3893678722075037,1315416,19091942,-0.00020482339823502116,0.0015976684808265418
Liechtenstein,1.6819674101211162,20.10941271236954,2446,2446,-0.4095522239804268,9.383408069610596
Lithuania,-0.004554789047461087,0.09597854868716463,1178713,1194246,-0.02711788713932037,0.005978546570986509
Luxembourg,-0.07751207893620238,2.312437316579027,41759,41775,-0.31458942294120784,0.2639581859111786
Macao S.A.R,,,0,444,,
Macedonia,-0.8923067430602276,14.181118088769152,341870,348669,-5.273706221580505,0.04959416892379501
Madagascar,1.694418676524928,39.459815665008776,6335397,6644902,-0.12083333432674405,0.38083548545836987
Malawi,6.335398425399851,63.12311787085688,1024006,1275181,-0.8319647908210754,22.859673500061035
Malaysia,-0.010538323626088052,50.65265921116827,3168853,3506327,-1.2299986124038695,3.0108019351959214
Maldives,,,0,4188,,
Mali,0.03234582184626871,3.2480242383935773,6190659,13810063,-0.16874102801084517,0.29026624262332884
Malta,,,0,4563,,
Marshall Islands,,,0,4819,,
Mauritania,-0.00805217876256117,2.5485744833614525,1983991,11687395,-0.08253882452845573,0.15355488657951355
Mauritius,,,0,23760,,
Mexico,0.07573925850873928,18.706978979617567,21415276,22602452,-0.08245314657688141,0.2646963372826576
Moldova,-0.26180834058401087,1.9323891017325852,520641,521716,-0.8629364967346191,0.0
Monaco,,,0,39,,
Mongolia,-0.549454415753592,11.731210613370813,17960196,23953538,-0.7953180968761444,0.07691728323698044
